,0,1,2
556,4.0,11,"[23, 26, 29]"
557,1.75,23,[33]
558,1.75,49,[12]
559,4.75,24,"[31, 34]"
560,4.5,41,[17]
561,1.0,9,"[28, 41]"
562,5.25,15,[33]
563,3.5,23,"[13, 39]"
564,6.25,28,"[12, 15, 18]"
565,1.0,7,"[32, 35]"
566,5.0,17,"[33, 45]"
567,3.0,16,[26]
568,4.75,13,"[21, 24]"
569,2.0,22,"[38, 46]"
570,2.25,21,"[15, 18]"
571,3.75,7,[33]
572,5.25,14,[26]
573,5.25,19,"[23, 26]"
574,2.5,26,"[24, 27]"
575,6.5,15,[12]
576,3.5,23,[14]
577,1.75,37,"[36, 39]"
578,6.5,15,"[31, 34, 37]"
579,2.0,15,"[15, 18]"
580,5.0,18,"[13, 16]"
581,2.75,27,"[22, 25]"
582,3.5,23,[26]
583,2.5,17,[15]
584,0.75,24,"[22, 25, 28]"
585,3.25,26,"[23, 26]"
586,2.25,30,"[35, 38]"
587,5.0,24,"[21, 38]"
588,2.0,29,[26]
589,3.5,19,"[29, 38]"
590,4.75,19,"[11, 14]"
591,4.5,9,"[26, 29]"
592,4.5,19,"[19, 44]"
593,1.25,40,"[22, 46]"
594,3.5,15,[13]
595,2.0,11,"[13, 33]"
596,3.0,18,"[35, 38]"
597,5.0,23,[27]
598,5.0,11,[24]
599,1.75,19,"[18, 29]"
600,3.5,24,"[25, 28]"
601,5.0,34,"[33, 37]"
602,4.75,13,"[22, 25]"
603,6.5,40,"[12, 23]"
604,5.0,15,"[36, 39]"
605,3.25,8,"[25, 28]"
606,4.0,11,"[31, 44]"
607,2.75,25,"[15, 18]"
608,4.5,6,"[14, 17]"
609,2.0,21,[37]
610,5.0,17,"[14, 17]"
611,1.5,45,"[15, 39]"
612,3.25,20,"[32, 34]"
613,3.75,20,[17]
614,5.0,11,"[16, 34]"
615,2.5,17,"[31, 34]"
616,1.5,20,"[33, 35]"
617,3.0,22,"[25, 29]"
618,2.0,14,"[25, 28]"
619,3.0,31,"[33, 39]"
620,3.25,11,[23]
621,4.75,19,[17]
622,3.25,16,"[33, 36]"
623,4.75,17,"[12, 17]"
624,3.0,32,"[19, 43]"
625,5.0,8,[23]
626,3.25,14,[26]
627,2.5,20,"[18, 45]"
628,3.5,28,"[26, 29]"
629,1.0,61,"[32, 35]"
630,2.25,44,[22]
631,2.5,28,"[23, 26]"
632,3.5,22,[36]
633,4.5,11,"[16, 22]"
634,1.5,14,"[35, 38]"
635,1.25,9,[25]
636,3.5,31,"[25, 28]"
637,2.25,15,"[11, 14]"
638,3.25,15,"[32, 34]"
639,5.0,16,"[31, 39]"
640,3.5,20,"[27, 39]"
641,3.75,9,"[36, 39]"
642,2.75,20,"[14, 17]"
643,3.25,6,"[32, 43]"
644,4.75,13,"[19, 45]"
645,3.75,13,"[33, 36]"
646,3.25,15,"[28, 29]"
647,2.75,12,"[32, 45]"
648,3.5,14,"[18, 31]"
649,3.5,23,"[26, 28]"
650,4.75,14,[37]
651,5.0,17,"[19, 21]"
652,4.75,13,"[21, 24]"
653,5.0,23,"[19, 37]"
